t_opt,x_true,y_true,x_fit,y_fit,abs_err_x,abs_err_y
24.434353236823867,90.154015,59.639984,78.0084585757712,54.798122029777694,12.1455564242288,4.841861970222304
24.467605819985927,108.58771,66.58643,78.03423494335016,54.8202377129861,30.553475056649845,11.766192287013894
24.50071805214624,92.21913,66.63875,78.05995477101001,54.84216533071223,14.159175228989994,11.796584669287775
24.533681726943513,91.19661,62.61863,78.0856113615932,54.86390003381349,13.110998638406812,7.75472996618651
24.566506096588267,99.95255,68.36338,78.11121158474486,54.88544852387027,21.841338415255137,13.47793147612974
24.59918729288221,60.347546,46.349476,78.13675209382767,54.90680885924751,17.789206093827666,8.55733285924751
24.631998762584626,89.694115,58.916718,78.16244689472812,54.92815920937371,11.531668105271876,3.9885587906262927
24.664662818143583,64.39439,47.278908,78.18807881783924,54.94931836028735,13.79368881783924,7.670410360287349
24.69745710093538,63.84976,47.205925,78.21386601710051,54.97046564612457,14.36410601710051,7.764540646124573
24.730382026664117,86.998276,57.36927,78.2398097786448,54.991599596180144,8.758466221355206,2.377670403819856
24.763163446534442,61.12748,46.632626,78.26569436920418,55.01254371879423,17.138214369204185,8.379917718794225
24.796071114634806,89.4724,58.646294,78.29173306214386,55.03346986670037,11.180666937856131,3.6128241332996254
24.828839677287593,85.695496,57.30719,78.31771616852836,55.054208799544675,7.377779831471642,2.2529812004553236
24.861460964228407,71.49108,50.110435,78.34363679711127,55.07475609472331,6.852556797111276,4.96432109472331
24.893940041679052,91.66434,64.61559,78.36949854320731,55.095115723232865,13.294841456792682,9.520474276767132
24.926277185811298,94.34387,69.45993,78.39530120036218,55.11528863102405,15.948568799637812,14.34464136897595
24.958468612371718,97.142685,69.44894,78.42104130471958,55.13527326271761,18.72164369528042,14.313666737282382
24.990519111857658,87.99004,57.61907,78.44672223606298,55.155073409190344,9.543317763937011,2.463996590809657
25.02242922308216,62.495224,46.981018,78.47234398016535,55.17469021166973,15.977119980165348,8.193672211669728
25.054462835403417,85.49915,57.314842,78.49811863345339,55.19428551520933,7.001031366546613,2.1205564847906686
25.086351875378543,80.33759,57.883514,78.52383069400517,55.21369498586709,1.8137593059948358,2.669819014132905
25.118101100128694,92.62985,67.657394,78.54948351937377,55.23292238572073,14.080366480626239,12.42447161427927
25.149710990652256,70.42611,49.112743,78.57507702547029,55.251968862944985,8.148967025470299,6.139225862944983
25.181443427295374,84.324425,57.417862,78.60082343293365,55.27099187842901,5.723601567066353,2.1468701215709913
25.21303240545632,83.71477,57.496323,78.62650708433539,55.28983166297719,5.088262915664615,2.206491337022804
25.244482654158574,59.839375,46.122692,78.65213132142041,55.30849194915445,18.812756321420416,9.18579994915445
25.27605493861515,100.65938,68.03047,78.6779087710367,55.3271271530175,21.9814712289633,12.703342846982494
25.307484328115873,83.208374,57.56737,78.70362327877328,55.34558062936468,4.504750721226728,2.221789370635314
25.338771385859285,100.0634,68.31197,78.72927477261513,55.36385367465428,21.334125227384874,12.948116325345723
25.36992078011591,64.75923,47.325703,78.75486655395018,55.38194996883406,13.995636553950177,8.05624696883406
25.401187072515317,88.327545,57.7659,78.78060789833097,55.40001716010538,9.54693710166903,2.365882839894624
25.43231580082748,106.79958,65.77472,78.80628943531167,55.417907978048426,27.993290564688337,10.356812021951576
25.463303285858252,91.09119,62.20636,78.83190758637653,55.43562129261088,12.259282413623467,6.770738707389114
25.49415007076738,77.039,57.26452,78.85746224347241,55.45315842409101,1.8184622434724105,1.8113615759089896
25.524860849959527,108.69649,66.736824,78.88295674631895,55.47052303705766,29.813533253681044,11.266300962942339
25.555431946313295,60.147415,46.26447,78.90838749021296,55.4877140532177,18.760972490212957,9.223244053217698
25.586122250716517,70.53592,49.198494,78.93396993195833,55.504876878768854,8.398049931958326,6.306382878768858
25.61693215510924,109.16109,67.78894,78.95970515894633,55.52201035405569,30.201384841053667,12.266929645944309
25.64760199345991,67.29219,47.728336,78.98537636307024,55.53896991761075,11.69318636307024,7.810633917610751
25.678391364349356,77.498215,57.47571,79.01120091735918,55.55589896726944,1.512985917359174,1.919811032730557
25.709044936167604,69.952415,48.781338,79.03696475277398,55.57265694966581,9.084549752773981,6.791318949665815
25.73981386580661,109.23152,68.058586,79.06287903787279,55.58938103326258,30.168640962127213,12.469204966737422
25.770442888105883,97.67729,69.28889,79.08872884177946,55.605932364450254,18.588561158220543,13.68295763554974
25.80093255015189,61.88685,46.845615,79.11451401562695,55.62231234563669,17.22766401562695,8.776697345636691
25.831545263485072,88.07303,57.651665,79.1404565521504,55.63866182415377,8.932573447849606,2.0130031758462295
25.86201461182014,91.84337,65.347855,79.16633073378395,55.6548384138846,12.677039266216042,9.693016586115398
25.89234521355158,97.819046,69.24161,79.19213984869909,55.67084571548135,18.626906151300915,13.570764284518646
25.922541637782782,60.637165,46.46319,79.21788717134478,55.686687252428655,18.58072217134478,9.223497252428658
25.9528519882774,90.533325,60.46108,79.24378429030403,55.70249311131818,11.28954070969597,4.758586888681826
25.983028265965153,102.37935,67.20309,79.26961935105061,55.718133904349685,23.109730648949395,11.484956095650318
